ID,INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
328,bite,yellow card,referee,Losing,off field,Netherlands,1/19/1997,48,Full
329,not bite,Suspended for several games,defender,Winning,off field,Uruguay,11/14/1993,72,No Moon
330,bite,None,journalist,Losing,opponent team penalty area,Netherlands,3/5/1998,87,No Moon
331,bite,Suspended for several games,defender,Draw at a time,midfield,Uruguay,10/28/1997,85,Full
332,not bite,None,None,Winning,No location,Uruguay,3/7/1995,91,No Moon
333,not bite,Not Caught,forward,Losing,midfield,England,10/20/2006,82,No Moon
334,bite,Yellow card,goalkeeper,Winning,his team penalty area,Uruguay,6/2/2008,78,Full
335,bite,None,referee,Losing,his team penalty area,Uruguay,3/19/2002,81,Half
336,bite,Not Caught,spectator,Losing,off field,Uruguay,8/15/2003,79,Full
337,bite,Not Caught,forward,Winning,midfield,Uruguay,10/22/1996,20,Full
338,not bite,None,None,Winning,No location,Uruguay,9/7/1992,91,No Moon
339,not bite,None,defender,Losing,off field,Uruguay,2/19/1999,65,No Moon
340,not bite,Yellow card,None,Winning,off field,Netherlands,2/21/2009,83,No Moon
341,not bite,None,None,Winning,No location,England,4/12/2013,91,No Moon
342,not bite,Not Caught,spectator,Draw at a time,off field,Uruguay,8/29/1993,54,No Moon
343,bite,Red Card,None,Draw at a time,his team penalty area,Uruguay,7/27/2005,32,Half
344,not bite,yellow card,referee,Winning,his team penalty area,Uruguay,7/17/1999,38,No Moon
345,not bite,None,None,Winning,No location,Netherlands,3/26/2009,91,No Moon
346,bite,Red Card,referee,Winning,off field,Uruguay,11/28/1992,83,Full
347,bite,Suspended for several games,midfielder,Losing,off field,Uruguay,9/17/2000,1,Full
348,not bite,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,6/14/2003,50,Half
349,not bite,None,None,Winning,No location,Uruguay,6/30/1996,91,Half
350,bite,Yellow card,None,Losing,opponent team penalty area,Netherlands,1/19/2007,84,Full
351,bite,Red Card,referee,Winning,No location,Netherlands,6/7/2000,5,Full
352,not bite,Not Caught,midfielder,Draw at a time,off field,Uruguay,6/4/2006,47,Half
353,not bite,yellow card,None,Losing,his team penalty area,Uruguay,4/23/2013,63,Full
354,not bite,Suspended for several games,goalkeeper,Winning,midfield,Netherlands,12/2/2012,27,Full
355,not bite,None,spectator,Draw at a time,off field,Uruguay,8/11/1994,76,Half
356,bite,Not Caught,forward,Losing,midfield,Uruguay,8/3/1996,88,Half
357,not bite,None,None,Winning,No location,Netherlands,8/19/2007,91,Half
358,bite,Suspended for several games,defender,Draw at a time,his team penalty area,England,9/7/2004,20,Full
359,not bite,Red Card,spectator,Winning,off field,Uruguay,4/24/1993,31,Half
360,not bite,Not Caught,midfielder,Losing,opponent team penalty area,Netherlands,3/26/2012,14,No Moon
361,bite,Red Card,goalkeeper,Losing,his team penalty area,Uruguay,5/31/2004,16,Half
362,not bite,None,goalkeeper,Losing,midfield,Netherlands,5/31/1993,87,Half
363,bite,Yellow card,midfielder,Losing,opponent team penalty area,Uruguay,3/18/1997,45,Full
364,bite,Not Caught,journalist,Losing,off field,Uruguay,2/10/1996,49,Half
365,bite,yellow card,midfielder,Losing,his team penalty area,Netherlands,5/13/2007,8,Half
366,bite,None,referee,Draw at a time,opponent team penalty area,Netherlands,10/29/2007,82,Half
367,bite,Yellow card,None,Winning,opponent team penalty area,Uruguay,1/28/2005,84,Full
368,bite,Yellow card,defender,Losing,midfield,Uruguay,1/2/1994,44,Half
369,not bite,Yellow card,None,Draw at a time,off field,Netherlands,3/13/2009,49,Full
370,not bite,None,referee,Winning,midfield,Uruguay,8/13/1999,60,Half
371,not bite,None,defender,Draw at a time,midfield,Netherlands,7/2/2008,20,Half
372,bite,Suspended for several games,referee,Losing,his team penalty area,Uruguay,5/8/2013,84,Full
373,not bite,None,None,Winning,No location,Uruguay,3/7/1996,91,No Moon
374,bite,Suspended for several games,forward,Losing,off field,Netherlands,4/12/2010,32,Half
375,bite,Suspended for several games,referee,Winning,opponent team penalty area,Netherlands,3/17/2004,47,Full
376,not bite,Not Caught,spectator,Winning,off field,Uruguay,3/19/2014,59,Half
377,bite,Yellow card,midfielder,Losing,off field,Uruguay,11/17/1993,16,Full
378,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,3/29/2006,38,No Moon
379,not bite,None,None,Winning,No location,Uruguay,5/5/2002,91,No Moon
380,bite,Yellow card,journalist,Losing,off field,Uruguay,10/23/1996,36,Full
381,not bite,Red Card,goalkeeper,Draw at a time,his team penalty area,Uruguay,3/10/2005,87,Full
382,not bite,yellow card,goalkeeper,Losing,off field,Uruguay,5/3/1996,82,No Moon
383,not bite,Not Caught,goalkeeper,Winning,his team penalty area,Uruguay,3/22/2005,62,Half
384,bite,Not Caught,goalkeeper,Winning,opponent team penalty area,England,11/3/2002,48,Full
385,bite,Yellow card,None,Losing,midfield,Uruguay,7/8/1997,87,Full
386,not bite,Red Card,journalist,Losing,off field,Netherlands,8/16/2008,78,No Moon
387,not bite,Yellow card,referee,Losing,his team penalty area,Uruguay,2/12/1999,71,No Moon
388,bite,Not Caught,midfielder,Losing,his team penalty area,Netherlands,12/22/2004,89,Half
389,not bite,Not Caught,referee,Winning,midfield,England,6/30/2012,88,No Moon
390,not bite,Suspended for several games,forward,Draw at a time,his team penalty area,Netherlands,12/19/2008,70,Full
391,bite,Yellow card,goalkeeper,Losing,midfield,England,3/12/2008,84,No Moon
392,not bite,Yellow card,forward,Draw at a time,midfield,Uruguay,5/16/2006,51,No Moon
393,bite,Yellow card,forward,Losing,opponent team penalty area,Uruguay,9/5/1994,4,Half
394,not bite,Not Caught,forward,Losing,his team penalty area,Uruguay,12/12/2005,35,No Moon
395,not bite,Yellow card,goalkeeper,Winning,his team penalty area,Uruguay,3/31/2014,75,Half
396,not bite,None,None,Winning,No location,Uruguay,1/22/1998,91,Half
397,bite,Not Caught,journalist,Losing,No location,England,1/12/2000,89,Half
398,not bite,Not Caught,spectator,Draw at a time,off field,Uruguay,2/1/2014,20,Half
399,bite,None,referee,Losing,off field,Uruguay,4/8/1997,87,Half
400,bite,yellow card,forward,Losing,off field,Uruguay,10/23/2005,77,Half
401,bite,Not Caught,goalkeeper,Draw at a time,his team penalty area,Uruguay,12/17/2003,89,Full
402,not bite,None,None,Winning,No location,Uruguay,11/13/1996,91,No Moon
403,not bite,Red Card,spectator,Losing,off field,Uruguay,2/11/1994,81,No Moon
404,bite,Suspended for several games,journalist,Draw at a time,opponent team penalty area,Netherlands,7/9/1994,72,Full
405,bite,Not Caught,midfielder,Winning,opponent team penalty area,Netherlands,6/19/2007,25,Full
406,bite,Suspended for several games,journalist,Losing,off field,Uruguay,12/26/1997,47,Half
407,not bite,None,None,Winning,No location,Uruguay,12/6/1999,91,Half
408,bite,Suspended for several games,None,Losing,midfield,Netherlands,6/5/2011,5,Full
409,bite,Yellow card,forward,Draw at a time,midfield,Uruguay,11/18/2011,64,Full
410,not bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,5/8/2004,34,No Moon
411,not bite,Not Caught,spectator,Losing,off field,Uruguay,11/2/1997,53,No Moon
412,not bite,Red Card,spectator,Winning,off field,Uruguay,10/7/2004,30,Full
413,not bite,None,None,Winning,No location,Uruguay,8/18/1999,91,Half
414,not bite,Red Card,defender,Losing,opponent team penalty area,Uruguay,6/27/2004,68,No Moon
415,bite,Suspended for several games,forward,Losing,his team penalty area,Netherlands,6/10/1994,10,Full
416,not bite,Red Card,referee,Winning,midfield,Netherlands,9/7/2009,25,No Moon
417,bite,None,spectator,Losing,off field,Uruguay,8/28/2000,79,Full
418,bite,None,midfielder,Draw at a time,his team penalty area,Uruguay,1/13/2005,2,Full
419,not bite,None,None,Winning,No location,Uruguay,3/22/1999,91,No Moon
420,not bite,yellow card,goalkeeper,Losing,opponent team penalty area,England,10/9/1996,60,Full
421,bite,yellow card,referee,Losing,off field,Netherlands,1/12/2011,83,Half
422,not bite,Not Caught,None,Draw at a time,off field,Uruguay,12/6/2005,57,No Moon
423,not bite,Red Card,defender,Winning,his team penalty area,Uruguay,5/20/2013,63,No Moon
424,not bite,Not Caught,forward,Winning,opponent team penalty area,Uruguay,1/17/1998,58,Full
425,bite,Not Caught,spectator,Losing,off field,Uruguay,7/24/1995,33,Full
426,not bite,None,midfielder,Winning,his team penalty area,Uruguay,4/20/2001,71,Half
427,not bite,None,None,Winning,No location,Uruguay,6/8/2012,91,No Moon
428,not bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Netherlands,7/16/2010,89,No Moon
429,bite,yellow card,midfielder,Draw at a time,off field,Uruguay,3/22/2006,31,Full
430,not bite,yellow card,defender,Winning,off field,Uruguay,10/9/2002,6,Full
431,bite,Suspended for several games,forward,Losing,midfield,Uruguay,3/24/1995,73,Full
432,not bite,None,None,Winning,No location,Uruguay,1/31/1998,91,No Moon
433,not bite,Not Caught,referee,Losing,his team penalty area,Uruguay,5/28/2001,86,No Moon
434,bite,Yellow card,goalkeeper,Losing,midfield,Uruguay,10/7/1993,87,Full
435,not bite,Red Card,defender,Winning,his team penalty area,Uruguay,12/11/1993,72,Half
436,not bite,Red Card,midfielder,Losing,midfield,Uruguay,10/4/2003,83,No Moon
437,not bite,Yellow card,spectator,Losing,off field,Uruguay,3/15/2002,90,No Moon
438,bite,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,9/7/1993,40,Full
439,bite,Not Caught,forward,Losing,off field,Uruguay,1/27/1997,22,Full
440,bite,yellow card,midfielder,Losing,opponent team penalty area,Uruguay,9/4/1993,25,Full
441,not bite,Suspended for several games,midfielder,Winning,opponent team penalty area,Uruguay,1/13/1999,48,Half
442,bite,Not Caught,forward,Losing,opponent team penalty area,Uruguay,9/11/1992,90,Full
443,not bite,None,None,Winning,No location,Uruguay,12/15/1992,91,No Moon
444,not bite,Not Caught,midfielder,Winning,off field,Uruguay,4/11/1995,66,Half
445,not bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,2/9/2000,43,Full
446,bite,Red Card,None,Winning,off field,Uruguay,4/6/2007,86,Full
447,bite,Yellow card,journalist,Draw at a time,off field,Netherlands,3/19/2009,83,Full
448,not bite,None,journalist,Winning,off field,Netherlands,5/21/2011,46,No Moon
449,not bite,yellow card,journalist,Draw at a time,off field,Uruguay,5/29/1999,32,Half
450,bite,yellow card,defender,Winning,his team penalty area,Uruguay,10/22/2002,88,Full
451,not bite,None,goalkeeper,Winning,opponent team penalty area,Netherlands,9/22/2011,84,No Moon
452,not bite,None,referee,Winning,off field,Uruguay,9/23/1995,66,Half
453,not bite,None,defender,Draw at a time,his team penalty area,Uruguay,11/15/1996,49,No Moon
454,not bite,yellow card,spectator,Draw at a time,off field,Uruguay,10/13/2001,55,Half
455,bite,Not Caught,defender,Losing,midfield,Netherlands,4/16/2009,31,Full
456,bite,Yellow card,goalkeeper,Losing,his team penalty area,Uruguay,12/20/2003,56,Half
457,bite,Yellow card,defender,Losing,opponent team penalty area,Uruguay,12/27/2005,85,Full
458,not bite,None,None,Winning,No location,Netherlands,11/19/2012,91,Half
459,bite,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,5/20/1994,25,Full
460,not bite,None,None,Winning,No location,Netherlands,2/19/2009,91,Half
461,not bite,Yellow card,None,Winning,opponent team penalty area,Uruguay,11/18/1993,62,Full
462,not bite,yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,7/24/2005,83,No Moon
463,bite,Red Card,None,Losing,off field,Uruguay,10/1/2001,84,Full
464,bite,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,6/13/2006,49,Half
465,not bite,yellow card,goalkeeper,Draw at a time,his team penalty area,Uruguay,8/17/1994,56,Half
466,not bite,Red Card,defender,Winning,midfield,Uruguay,10/25/1995,38,Half
467,bite,Yellow card,referee,Winning,off field,Netherlands,8/18/2013,55,Full
468,bite,Yellow card,spectator,Losing,off field,Uruguay,2/17/1995,87,Half
469,not bite,yellow card,goalkeeper,Losing,his team penalty area,Uruguay,8/3/2005,3,No Moon
470,not bite,Red Card,goalkeeper,Winning,opponent team penalty area,Netherlands,10/19/2007,31,Full
471,not bite,None,None,Winning,No location,Netherlands,1/21/2007,91,Half
472,bite,Yellow card,spectator,Draw at a time,opponent team penalty area,England,12/18/2010,34,Full
473,not bite,None,forward,Draw at a time,opponent team penalty area,Netherlands,11/10/2007,3,Half
474,not bite,Yellow card,forward,Losing,off field,Netherlands,4/3/2007,91,No Moon
475,bite,Suspended for several games,journalist,Losing,off field,Netherlands,11/15/2009,78,Half
476,not bite,Not Caught,spectator,Draw at a time,off field,Uruguay,3/6/1998,77,No Moon
477,not bite,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,8/23/2002,75,Half
478,not bite,Red Card,defender,Losing,midfield,Netherlands,7/23/2011,66,No Moon
479,bite,Suspended for several games,midfielder,Losing,his team penalty area,Uruguay,2/21/2005,3,Full
480,not bite,Not Caught,spectator,Draw at a time,off field,Uruguay,1/6/2001,84,No Moon
481,bite,yellow card,goalkeeper,Losing,off field,Uruguay,2/11/2003,22,Full
482,bite,Not Caught,None,Losing,opponent team penalty area,Uruguay,4/16/2005,56,Full
483,not bite,None,None,Winning,No location,Netherlands,6/7/2009,91,Half
484,bite,Yellow card,midfielder,Losing,his team penalty area,Uruguay,10/2/1997,59,Half
485,bite,None,journalist,Losing,off field,Uruguay,6/28/2004,26,Half
486,not bite,Not Caught,journalist,Winning,off field,Netherlands,8/14/2010,74,Half
487,not bite,None,journalist,Winning,off field,Uruguay,1/25/1999,85,No Moon
488,not bite,Red Card,goalkeeper,Losing,midfield,Uruguay,1/11/2002,26,No Moon
489,not bite,Red Card,referee,Losing,off field,Uruguay,8/11/2006,85,No Moon
490,not bite,None,None,Winning,No location,Uruguay,6/20/2013,91,Half
491,bite,Not Caught,referee,Losing,off field,Uruguay,7/5/2007,3,Full
492,not bite,Red Card,journalist,Losing,off field,Uruguay,11/24/2001,85,No Moon
493,bite,None,defender,Winning,opponent team penalty area,Netherlands,11/22/2000,22,Full
494,not bite,Red Card,referee,Winning,midfield,Uruguay,12/17/1993,25,No Moon
495,not bite,yellow card,midfielder,Winning,his team penalty area,Uruguay,7/13/1994,77,Half
496,bite,yellow card,None,Losing,midfield,Netherlands,11/20/1994,60,Full
497,not bite,Red Card,forward,Winning,his team penalty area,Uruguay,9/7/1993,18,Half
498,not bite,None,None,Winning,No location,Uruguay,7/2/1993,91,Half
499,not bite,Not Caught,journalist,Winning,off field,Uruguay,1/11/2006,24,Full
500,bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,7/27/1993,82,Full
501,not bite,None,None,Winning,No location,Uruguay,3/22/1996,91,Half
502,not bite,None,None,Winning,No location,Uruguay,4/11/1994,91,No Moon
503,not bite,Not Caught,referee,Draw at a time,off field,Uruguay,5/27/2002,78,Half
504,not bite,Red Card,journalist,Winning,off field,Uruguay,5/27/1995,91,Half
505,not bite,None,None,Winning,No location,Uruguay,8/5/1994,91,Half
506,not bite,Yellow card,forward,Winning,off field,Uruguay,5/20/2002,47,Half
507,bite,Red Card,referee,Losing,off field,Netherlands,11/7/2006,83,Full
508,not bite,yellow card,forward,Losing,his team penalty area,Uruguay,7/23/2004,19,No Moon
509,not bite,Yellow card,goalkeeper,Winning,midfield,Uruguay,3/19/2001,53,Half
510,not bite,Yellow card,journalist,Winning,off field,Netherlands,7/5/2007,74,Full
511,not bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,2/13/2000,38,Half
512,not bite,Yellow card,journalist,Winning,off field,Uruguay,6/9/2004,44,Half
513,bite,Red Card,journalist,Losing,off field,Netherlands,11/10/2008,37,Half
514,not bite,None,None,Winning,No location,Uruguay,5/24/1994,91,Half
515,not bite,Yellow card,referee,Draw at a time,midfield,Netherlands,11/7/2008,34,Full
516,not bite,Not Caught,defender,Losing,his team penalty area,Uruguay,11/5/1998,12,No Moon
517,bite,Not Caught,None,Winning,off field,Uruguay,1/30/2008,76,Full
518,not bite,None,None,Winning,No location,Uruguay,7/13/2001,91,No Moon
519,not bite,None,None,Losing,off field,Uruguay,9/13/2004,81,No Moon
520,not bite,Yellow card,forward,Losing,midfield,Netherlands,6/20/2012,20,No Moon
521,bite,None,midfielder,Losing,opponent team penalty area,Netherlands,4/4/2007,85,Half
522,not bite,Red Card,spectator,Losing,off field,Uruguay,2/11/2000,85,No Moon
523,not bite,yellow card,defender,Draw at a time,midfield,Uruguay,7/19/1992,35,Half
524,bite,Yellow card,midfielder,Losing,his team penalty area,Uruguay,10/9/1999,21,Full
525,not bite,None,None,Winning,No location,Netherlands,6/16/2007,91,No Moon
526,not bite,Red Card,None,Draw at a time,his team penalty area,Netherlands,9/18/2007,66,Half
527,bite,Yellow card,forward,Losing,off field,Uruguay,4/12/2004,10,Full
528,not bite,None,None,Winning,No location,Uruguay,8/8/1993,91,Half
529,bite,Not Caught,midfielder,Losing,midfield,Uruguay,6/19/2003,85,Full
530,bite,None,goalkeeper,Losing,midfield,Uruguay,7/13/2004,88,Half
531,bite,Yellow card,spectator,Winning,midfield,Netherlands,11/25/2007,69,Full
532,bite,Yellow card,spectator,Losing,off field,Uruguay,4/12/1995,84,Full
533,not bite,Suspended for several games,defender,Winning,his team penalty area,Uruguay,1/2/2000,82,No Moon
534,bite,Red Card,referee,Losing,off field,England,10/26/2010,87,Half
535,not bite,Not Caught,spectator,Winning,off field,Uruguay,10/30/1998,25,No Moon
536,not bite,None,None,Winning,No location,Netherlands,8/6/2007,91,Half
537,not bite,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,6/27/1999,23,No Moon
538,not bite,Suspended for several games,journalist,Losing,off field,Uruguay,12/18/1992,27,No Moon
539,not bite,None,journalist,Winning,off field,Uruguay,2/13/1999,9,No Moon
540,bite,Red Card,goalkeeper,Losing,off field,Uruguay,3/14/1999,85,Full
541,not bite,None,None,Winning,No location,Uruguay,8/18/2002,91,No Moon
542,not bite,Yellow card,None,Draw at a time,his team penalty area,Uruguay,12/14/2004,46,No Moon
543,bite,None,forward,Draw at a time,midfield,Uruguay,1/6/1993,82,Half
544,not bite,None,None,Winning,No location,Netherlands,8/27/2007,91,Half
545,not bite,None,None,Winning,No location,Uruguay,9/29/1994,91,Half
546,not bite,Red Card,forward,Draw at a time,off field,Netherlands,8/22/2009,45,Half
547,not bite,Not Caught,journalist,Draw at a time,off field,Netherlands,12/10/2008,77,No Moon
548,not bite,None,None,Winning,No location,Uruguay,12/22/2004,91,No Moon
549,not bite,Red Card,midfielder,Draw at a time,opponent team penalty area,Uruguay,2/15/2003,91,Full
550,not bite,Yellow card,journalist,Draw at a time,off field,Netherlands,8/18/2013,10,Half
551,bite,Not Caught,defender,Losing,off field,Uruguay,2/7/2014,48,Half
552,bite,yellow card,midfielder,Losing,off field,Uruguay,1/21/2014,25,Full
553,bite,Yellow card,None,Losing,midfield,Uruguay,6/11/2004,84,Half
554,not bite,Not Caught,forward,Draw at a time,midfield,Netherlands,11/14/2008,40,No Moon
555,bite,Yellow card,referee,Losing,his team penalty area,Uruguay,7/3/1994,2,Half
556,bite,Suspended for several games,forward,Draw at a time,off field,Uruguay,5/7/2006,90,Half
557,bite,Yellow card,journalist,Losing,off field,Uruguay,1/7/1999,4,Half
558,not bite,yellow card,spectator,Winning,off field,Uruguay,12/2/1997,63,No Moon
559,bite,Not Caught,journalist,Losing,off field,Uruguay,5/22/2006,26,Full
560,not bite,None,spectator,Draw at a time,off field,Netherlands,10/5/2008,49,Full
561,not bite,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,3/4/1993,64,Half
562,not bite,Red Card,defender,Losing,off field,Uruguay,8/24/2004,22,No Moon
563,bite,yellow card,forward,Losing,midfield,Uruguay,12/2/2000,28,Full
564,not bite,None,None,Winning,No location,Uruguay,1/16/2001,91,Half
565,not bite,Suspended for several games,spectator,Winning,off field,Netherlands,4/13/2011,23,Half
566,not bite,None,None,Winning,No location,Netherlands,4/18/2009,91,No Moon
567,not bite,Yellow card,spectator,Draw at a time,off field,Uruguay,9/29/2000,47,No Moon
568,not bite,None,None,Winning,No location,Netherlands,3/13/2010,91,No Moon
569,bite,Not Caught,defender,Losing,off field,Uruguay,6/4/1997,34,Full
570,bite,yellow card,goalkeeper,Losing,No location,Netherlands,4/16/2010,88,Full
571,bite,Red Card,referee,Losing,off field,Netherlands,2/27/2013,24,Full
572,bite,None,defender,Draw at a time,off field,Uruguay,12/20/1992,18,Half
573,not bite,yellow card,defender,Losing,midfield,Uruguay,4/10/2006,19,No Moon
574,not bite,Yellow card,referee,Winning,midfield,England,4/28/2014,73,Half
575,not bite,Suspended for several games,goalkeeper,Winning,his team penalty area,Uruguay,1/7/2013,65,Half
576,not bite,yellow card,None,Draw at a time,midfield,Uruguay,7/4/1999,17,Half
577,not bite,Red Card,goalkeeper,Winning,off field,Netherlands,4/3/2009,32,No Moon
578,bite,Red Card,goalkeeper,Losing,his team penalty area,Uruguay,2/14/1994,16,Half
579,not bite,Yellow card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,12/20/1996,55,No Moon
580,bite,Not Caught,referee,Losing,opponent team penalty area,Uruguay,12/27/2011,26,Full
581,not bite,yellow card,journalist,Losing,off field,Uruguay,8/11/1993,31,No Moon
582,bite,Not Caught,referee,Winning,midfield,Netherlands,10/4/2009,49,Full
583,not bite,Red Card,goalkeeper,Draw at a time,off field,Uruguay,6/24/2003,25,Half
584,bite,Not Caught,midfielder,Losing,midfield,Uruguay,9/26/1993,56,Full
585,bite,Not Caught,forward,Losing,his team penalty area,Uruguay,8/12/1994,85,No Moon
586,not bite,None,None,Winning,No location,Uruguay,11/1/2000,91,No Moon
587,bite,Yellow card,goalkeeper,Losing,his team penalty area,Netherlands,1/6/1993,82,No Moon
588,not bite,Suspended for several games,journalist,Winning,off field,Uruguay,4/17/1993,47,No Moon
589,bite,Red Card,None,Losing,his team penalty area,England,2/9/1994,85,Half
590,not bite,Suspended for several games,referee,Draw at a time,off field,Uruguay,11/12/1992,91,Half
591,not bite,Red Card,None,Winning,opponent team penalty area,Uruguay,6/18/2006,91,No Moon
592,not bite,Yellow card,defender,Winning,midfield,England,1/8/2014,33,No Moon
593,bite,Red Card,goalkeeper,Losing,off field,Uruguay,6/24/1999,48,Full
594,not bite,Not Caught,midfielder,Losing,his team penalty area,Uruguay,7/2/1994,30,No Moon
595,bite,Not Caught,goalkeeper,Losing,off field,Netherlands,10/20/2010,45,Half
596,not bite,None,None,Winning,No location,Uruguay,5/22/2002,91,Half
597,not bite,Red Card,spectator,Draw at a time,off field,Uruguay,6/13/1995,15,No Moon
598,not bite,yellow card,journalist,Winning,off field,Uruguay,8/22/1997,63,Half
599,not bite,Not Caught,midfielder,Losing,off field,Uruguay,2/3/1993,85,No Moon
600,not bite,Not Caught,defender,Draw at a time,midfield,Uruguay,12/24/1998,91,No Moon
601,not bite,None,None,Winning,No location,Uruguay,7/16/1995,91,Half
602,not bite,None,None,Winning,No location,Uruguay,7/19/2006,91,No Moon
603,bite,Not Caught,midfielder,Losing,midfield,Uruguay,6/29/2004,18,Half
604,bite,None,spectator,Losing,off field,Netherlands,2/3/2012,91,Full
605,not bite,Yellow card,None,Losing,off field,Uruguay,4/7/2003,83,No Moon
606,not bite,yellow card,spectator,Winning,off field,Uruguay,8/10/2003,55,Half
607,not bite,Suspended for several games,referee,Draw at a time,his team penalty area,Uruguay,7/23/1992,70,Half
608,bite,Red Card,midfielder,Losing,off field,Uruguay,3/3/2003,3,Half
609,not bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,9/8/2004,6,No Moon
610,bite,Not Caught,None,Losing,off field,Uruguay,3/18/1995,71,Full
611,not bite,Yellow card,defender,Losing,off field,Netherlands,12/22/2011,36,No Moon
612,bite,Not Caught,None,Winning,opponent team penalty area,Netherlands,5/10/1999,30,Full
613,not bite,Not Caught,journalist,Draw at a time,off field,Uruguay,2/20/1998,3,No Moon
614,not bite,None,midfielder,Winning,midfield,Uruguay,9/14/2001,80,No Moon
615,not bite,None,journalist,Losing,off field,Netherlands,4/26/2012,73,No Moon
616,bite,yellow card,referee,Losing,opponent team penalty area,Uruguay,8/14/1997,33,Half
617,bite,yellow card,referee,Losing,midfield,Netherlands,2/24/2010,57,Full
618,bite,Suspended for several games,journalist,Losing,off field,Netherlands,10/14/2006,49,Half
619,not bite,yellow card,forward,Winning,opponent team penalty area,Uruguay,7/26/1992,47,Half
620,bite,None,journalist,Losing,off field,Netherlands,2/24/2014,84,Half
621,not bite,Not Caught,journalist,Losing,off field,Uruguay,5/17/2001,51,No Moon
622,bite,Yellow card,forward,Losing,midfield,Uruguay,12/26/2005,45,Half
623,not bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,2/19/2000,11,Half
624,not bite,None,None,Winning,No location,Netherlands,10/4/2009,91,Half
625,bite,Not Caught,journalist,Draw at a time,off field,Uruguay,5/22/2000,17,Half
626,bite,Yellow card,forward,Winning,midfield,Uruguay,10/12/1996,6,Full
627,bite,None,defender,Winning,his team penalty area,Netherlands,11/23/1997,44,Full
628,bite,Yellow card,referee,Losing,midfield,Uruguay,2/4/2004,59,Full
629,not bite,Red Card,None,Draw at a time,opponent team penalty area,Uruguay,12/4/2004,62,Half
630,not bite,Suspended for several games,spectator,Losing,off field,Uruguay,7/15/1996,45,No Moon
631,not bite,Not Caught,None,Losing,midfield,Uruguay,7/1/2006,57,No Moon
632,not bite,Red Card,forward,Draw at a time,midfield,Uruguay,1/17/1997,36,Full
633,not bite,None,spectator,Losing,off field,Uruguay,5/20/1996,82,No Moon
634,not bite,None,journalist,Winning,off field,Uruguay,11/1/2003,29,No Moon
635,not bite,Red Card,journalist,Draw at a time,off field,Uruguay,8/12/1994,66,No Moon
636,not bite,None,None,Winning,No location,Netherlands,12/24/2009,91,No Moon
637,bite,Yellow card,referee,Losing,off field,Uruguay,11/22/1995,61,Half
638,bite,yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,8/20/2004,17,Full
639,bite,Yellow card,forward,Losing,opponent team penalty area,Netherlands,12/3/2009,88,Half
640,not bite,Not Caught,spectator,Winning,off field,Uruguay,11/24/1992,72,No Moon
641,bite,Suspended for several games,forward,Losing,his team penalty area,England,2/16/2005,87,Full
642,not bite,None,defender,Losing,off field,Netherlands,3/15/1996,83,Full
643,bite,Suspended for several games,forward,Losing,his team penalty area,Netherlands,5/15/1994,11,Full
644,bite,Not Caught,goalkeeper,Draw at a time,his team penalty area,Uruguay,5/17/1998,90,Half
645,not bite,Not Caught,None,Winning,his team penalty area,England,7/14/2013,84,Full
646,not bite,None,None,Winning,No location,Uruguay,12/25/2004,91,Half
647,not bite,yellow card,journalist,Winning,off field,Netherlands,12/9/2012,89,Half
648,not bite,None,journalist,Winning,off field,Netherlands,7/26/2009,15,No Moon
649,not bite,Not Caught,referee,Draw at a time,off field,Uruguay,1/26/2006,70,No Moon
650,bite,Red Card,defender,Losing,midfield,Uruguay,5/9/1999,80,Half
651,not bite,None,None,Winning,No location,Uruguay,6/30/1995,91,No Moon
652,not bite,Red Card,midfielder,Winning,midfield,Uruguay,11/23/1992,68,Half
653,not bite,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,10/9/1995,59,No Moon
654,not bite,Yellow card,forward,Draw at a time,midfield,Uruguay,2/5/2006,35,Half
655,not bite,Yellow card,forward,Winning,opponent team penalty area,Uruguay,9/16/1999,41,No Moon
656,not bite,yellow card,midfielder,Draw at a time,midfield,Uruguay,2/9/2005,28,Half
657,bite,Red Card,defender,Losing,off field,Netherlands,3/21/2008,85,Half
658,bite,None,spectator,Draw at a time,off field,Uruguay,11/16/1999,72,Half
